"Date","Price","Open","High","Low","Vol.","Change %"
"11/12/2020","41.59","43.75","44.17","41.09","3.21M","-5.48%"
"11/11/2020","44.00","45.15","45.40","43.54","2.69M","-1.76%"
"11/10/2020","44.79","44.18","44.82","42.60","3.04M","3.23%"
"11/09/2020","43.39","40.85","45.08","40.85","4.64M","18.91%"
"11/06/2020","36.49","36.86","37.76","36.44","1.68M","-1.38%"
"11/05/2020","37.00","37.22","38.33","36.96","1.33M","-0.59%"
"11/04/2020","37.22","37.08","38.25","35.91","2.46M","0.84%"
"11/03/2020","36.91","38.44","38.68","36.42","2.32M","-2.97%"
"11/02/2020","38.04","37.81","38.46","36.82","2.35M","2.20%"
"10/30/2020","37.22","36.92","37.50","36.30","1.83M","0.11%"
"10/29/2020","37.18","34.88","37.31","34.82","2.33M","2.93%"
"10/28/2020","36.12","36.40","37.93","35.25","3.41M","-3.42%"
"10/27/2020","37.40","37.27","37.72","36.78","2.03M","-0.08%"
"10/26/2020","37.43","38.46","38.53","37.17","2.36M","-4.93%"
"10/23/2020","39.37","39.55","39.91","39.01","1.57M","0.31%"
"10/22/2020","39.25","37.25","39.31","37.20","1.87M","5.54%"
"10/21/2020","37.19","37.33","38.05","36.92","1.83M","-1.74%"
"10/20/2020","37.85","36.90","38.16","36.75","2.13M","3.42%"
"10/19/2020","36.60","38.48","38.64","36.50","2.15M","-3.84%"
"10/16/2020","38.06","39.15","39.68","38.00","1.64M","-3.20%"
"10/15/2020","39.32","37.79","39.38","37.52","1.47M","1.89%"
"10/14/2020","38.59","38.78","40.35","38.54","1.42M","-0.16%"
"10/13/2020","38.65","38.52","39.48","38.28","1.90M","0.03%"
"10/12/2020","38.64","37.78","38.82","37.02","1.60M","1.52%"
"10/09/2020","38.06","39.13","39.40","37.73","1.64M","-1.37%"
"10/08/2020","38.59","38.17","38.71","37.67","2.18M","2.42%"
"10/07/2020","37.68","38.21","38.65","36.62","3.62M","-0.76%"
"10/06/2020","37.97","40.15","40.56","37.84","2.69M","-3.53%"
"10/05/2020","39.36","38.32","39.38","38.18","2.59M","4.38%"
"10/02/2020","37.71","37.49","38.66","37.47","3.22M","-3.26%"
"10/01/2020","38.98","40.00","40.38","38.66","3.05M","-4.76%"
"09/30/2020","40.93","40.47","41.58","40.47","1.84M","0.59%"
"09/29/2020","40.69","40.83","40.88","39.77","1.89M","-0.83%"
"09/28/2020","41.03","41.23","41.54","40.28","1.86M","1.36%"
"09/25/2020","40.48","39.21","40.88","38.92","2.79M","2.61%"
"09/24/2020","39.45","38.72","39.98","38.29","2.91M","0.13%"
"09/23/2020","39.40","41.62","41.93","39.29","1.65M","-4.44%"
"09/22/2020","41.23","41.25","41.79","40.60","1.76M","0.19%"
"09/21/2020","41.15","41.81","42.40","40.73","3.55M","-4.35%"
"09/18/2020","43.02","44.28","44.65","42.98","5.03M","-2.78%"
"09/17/2020","44.25","43.33","44.67","43.30","3.25M","0.11%"
"09/16/2020","44.20","43.59","44.87","43.14","4.56M","3.15%"
"09/15/2020","42.85","43.95","44.30","42.76","2.15M","-2.26%"
"09/14/2020","43.84","43.27","44.95","42.84","2.34M","1.36%"
"09/11/2020","43.25","43.56","43.74","42.72","2.23M","-0.62%"
"09/10/2020","43.52","46.92","46.92","43.47","3.39M","-7.31%"
"09/09/2020","46.95","45.96","47.65","45.76","2.20M","2.74%"
"09/08/2020","45.70","45.97","46.86","44.15","2.59M","-3.08%"
"09/04/2020","47.15","47.05","47.84","46.41","2.01M","1.59%"
"09/03/2020","46.41","45.63","47.47","45.40","2.36M","1.13%"
"09/02/2020","45.89","45.70","46.73","45.37","1.83M","-0.11%"
"09/01/2020","45.94","45.70","45.98","45.10","1.50M","-0.22%"
"08/31/2020","46.04","46.94","47.01","45.69","1.63M","-1.92%"
"08/28/2020","46.94","46.71","47.02","45.91","1.69M","1.12%"
"08/27/2020","46.42","46.61","47.06","45.78","1.73M","0.26%"
"08/26/2020","46.30","48.12","48.12","46.26","1.55M","-4.18%"
"08/25/2020","48.32","48.78","48.78","47.35","1.86M","1.02%"
"08/24/2020","47.83","47.91","48.46","47.10","1.68M","0.67%"
"08/21/2020","47.51","47.84","48.16","46.94","1.60M","-1.31%"
"08/20/2020","48.14","47.83","48.83","47.58","2.08M","-0.72%"
"08/19/2020","48.49","49.74","50.22","48.48","2.43M","-3.06%"
"08/18/2020","50.02","51.77","52.58","48.65","2.42M","-4.67%"
"08/17/2020","52.47","53.58","53.58","51.61","1.35M","-2.44%"
"08/14/2020","53.78","52.24","53.79","52.08","1.23M","1.99%"
"08/13/2020","52.73","53.48","54.03","52.53","1.60M","-2.04%"
"08/12/2020","53.83","54.80","54.80","53.27","2.07M","0.58%"
"08/11/2020","53.52","56.33","56.86","53.39","2.39M","-2.94%"
"08/10/2020","55.14","53.58","55.59","53.33","2.79M","3.98%"
"08/07/2020","53.03","52.83","53.54","52.28","2.30M","-0.67%"
"08/06/2020","53.39","53.08","53.71","52.57","1.60M","-0.41%"
"08/05/2020","53.61","51.96","54.20","51.39","3.26M","5.78%"
"08/04/2020","50.68","49.65","50.84","49.65","1.67M","1.69%"
"08/03/2020","49.84","49.32","50.46","48.56","1.61M","1.28%"
"07/31/2020","49.21","47.12","49.29","46.96","2.34M","3.51%"
"07/30/2020","47.54","48.64","49.04","46.54","2.70M","-4.92%"
"07/29/2020","50.00","50.01","50.30","48.75","2.49M","3.95%"
"07/28/2020","48.10","49.99","50.31","47.97","2.48M","-4.35%"
"07/27/2020","50.29","50.15","50.95","49.74","1.12M","-0.34%"
"07/24/2020","50.46","51.23","51.91","50.39","1.13M","-1.14%"
"07/23/2020","51.04","51.37","51.81","50.11","1.61M","-2.02%"
"07/22/2020","52.09","51.25","52.57","50.10","1.84M","-0.33%"
